2 days until #GoPackGo and 23 days until #GoGipeGo..... I'm so excited! ,joy
As the birds chirp and the cows moo we need to listen to the sound of nature to ensure that all is well.,joy
Howling with laughter at “WELL DONE BEZZA!” #bakeoff #GBBO,joy
@StephaliciousD afternoon delight,joy
@UKLittleKitchen Defo a hearty root veg gratin. Nice comfort food as Autumn kicks in,joy
"As I remember and reflect on Reginald Denny on a night much like this (like #Charlotte) I think to myself, the gun lobby must be rejoicing.",joy
"@scottlocker220 Thank you for that, the notification came in the nick of time to cheer me up - have to re-tweet",joy
Evening all. Don't forget it's #RobinHoodHour TONIGHT 🏹\n\n#bizitalk #bizhour #southyorkshire #MansfieldHour #chirp #sheffieldHour #NottsHour,joy
Close to the end of a revision...taking this story I love in a new direction has been exhilarating for me. #endlesspossibilities #amwriting,joy
"#happiness #recipe: an open mind, #laughter, a kind #heart &amp; ",joy
🔥💁🏼- its lit having a class with you!!! Your such a great person and good at cheer!!,joy
Watch this amazing live.ly broadcast by @jaredhorgan  #musically,joy
"@alpuzz Ah, but once I got it to work, there was much rejoicing! Lol thanks will get it to do taht now.",joy
"Just popped a half bottle of 2014 @Bellawines #sparkling #gamaynoir from Westbank. Evenin', folks! \n#bcwinechat",joy
@Myahrissavietta I'm cheery now 😘😉,joy
I WANNA GET UP AND DANCE!!!! (but everyone is in bed) this sucks! Everyone wake up!! 😯 #hyper  #letsdance #dirtydancinginthemoonlight👌,joy
@alicereidy more of a hearty Italian man myself,joy
"it's not the most comforting &amp; jubilant place to be, but I do find joy in doing what's best for me and being passionate abt company I keep.",joy
@LBC_Charlotte just watched you on the great wall #hilarious 😆,joy
@ErinAndrews I ❤️you on DWTS You make my night every show! 😘 #hilarious,joy
Watch this amazing live.ly broadcast by @maisiev  #musically,joy
I love my family so much #lucky #grateful #smartassfamily  #love,joy
@ditzkoff @jpodhoretz There’s not a metaphor in the world that will get at the hilarity of jpod pronouncing on humor.,joy
Whatever you decide to do make sure it makes you #happy.,joy
"May your day be filled with #peace#love n #laughter .Have a very nice day full of #Success #Jummah Mubarak😇 , good morning☕ @WaseemBadami",joy
in love with @BarberCeleste  insta!!!... #hilarious,joy
